Data da refeição,Salada,Frango,Arroz,Feijão,Farrofa,Sobremesa,Vegetariano
02/07/2024 terça-feira,REGULAR,BOM,BOM,REGULAR,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,ÓTIMO,ÓTIMO,BOM,ÓTIMO,BOM,ÓTIMO
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,NÃO CONSUMI,BOM,BOM,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,REGULAR,BOM,BOM,BOM,REGULAR,REGULAR
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,REGULAR,BOM,REGULAR,REGULAR,REGULAR,REGULAR,RUIM
02/07/2024 terça-feira,ÓTIMO,BOM,REGULAR,REGULAR,BOM,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,NÃO CONSUMI
02/07/2024 terça-feira,BOM,NÃO CONSUMI,BOM,BOM,BOM,NÃO CONSUMI,REGULAR
02/07/2024 terça-feira,BOM,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,BOM
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,REGULAR,BOM,BOM,BOM,REGULAR,BOM,REGULAR
02/07/2024 terça-feira,REGULAR,BOM,BOM,REGULAR,BOM,RUIM,REGULAR
