Data da refeição,Salada,Frango,Arroz,Feijão,Farofa,Sobremesa,Vegetariano
26/06/2024 quarta-feira,BOM,REGULAR,BOM,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,BOM,ÓTIMO,BOM,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
26/06/2024 quarta-feira,NÃO CONSUMI,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,REGULAR,BOM,REGULAR,BOM,BOM,REGULAR
26/06/2024 quarta-feira,REGULAR,BOM,REGULAR,BOM,BOM,REGULAR,REGULAR
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
26/06/2024 quarta-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,RUIM,BOM,BOM,ÓTIMO,NÃO CONSUMI,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,RUIM,RUIM,RUIM,RUIM,RUIM,RUIM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,REGULAR,NÃO CONSUMI,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,BOM,BOM,ÓTIMO,BOM,ÓTIMO,ÓTIMO
26/06/2024 quarta-feira,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,BOM,BOM,NÃO CONSUMI,ÓTIMO,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,REGULAR,BOM,REGULAR
26/06/2024 quarta-feira,REGULAR,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,RUIM,RUIM,RUIM,RUIM,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,RUIM,REGULAR,RUIM,RUIM,REGULAR,REGULAR,RUIM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
26/06/2024 quarta-feira,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI,BOM,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
26/06/2024 quarta-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,BOM,REGULAR,BOM,BOM,REGULAR,RUIM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
26/06/2024 quarta-feira,REGULAR,BOM,BOM,NÃO CONSUMI,BOM,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,REGULAR,BOM,BOM,REGULAR,RUIM,REGULAR
26/06/2024 quarta-feira,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,BOM,BOM,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,BOM
26/06/2024 quarta-feira,ÓTIMO,REGULAR,BOM,BOM,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,ÓTIMO,BOM,BOM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,RUIM,BOM,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI,RUIM,RUIM
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
26/06/2024 quarta-feira,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO,ÓTIMO
26/06/2024 quarta-feira,BOM,BOM,BOM,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,RUIM,REGULAR,BOM,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,BOM,BOM,NÃO CONSUMI,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,REGULAR,REGULAR,BOM,ÓTIMO,REGULAR,BOM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,BOM,BOM,BOM,BOM,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,REGULAR,REGULAR,REGULAR
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
