Data da refeição,Salada,Frango,Arroz,Feijão,Farrofa,Sobremesa,Vegetariano
01/07/2024 segunda-feira,REGULAR,REGULAR,BOM,BOM,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,REGULAR,REGULAR,BOM,RUIM,REGULAR,RUIM,RUIM
01/07/2024 segunda-feira,RUIM,RUIM,RUIM,RUIM,RUIM,RUIM,RUIM
01/07/2024 segunda-feira,REGULAR,BOM,BOM,BOM,ÓTIMO,RUIM,REGULAR
01/07/2024 segunda-feira,ÓTIMO,REGULAR,ÓTIMO,NÃO CONSUMI,BOM,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,NÃO CONSUMI,BOM,NÃO CONSUMI,BOM,BOM,BOM
01/07/2024 segunda-feira,BOM,REGULAR,BOM,NÃO CONSUMI,BOM,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,REGULAR,REGULAR,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,RUIM,REGULAR,REGULAR,REGULAR,RUIM,BOM,REGULAR
01/07/2024 segunda-feira,RUIM,REGULAR,BOM,REGULAR,BOM,RUIM,RUIM
01/07/2024 segunda-feira,BOM,BOM,BOM,BOM,RUIM,BOM,RUIM
01/07/2024 segunda-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,BOM,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,REGULAR,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
01/07/2024 segunda-feira,BOM,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
01/07/2024 segunda-feira,BOM,REGULAR,BOM,BOM,BOM,BOM,BOM
01/07/2024 segunda-feira,REGULAR,RUIM,REGULAR,RUIM,BOM,RUIM,BOM
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,NÃO CONSUMI,BOM,ÓTIMO,NÃO CONSUMI,ÓTIMO,RUIM,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,BOM,BOM,BOM,BOM,BOM,RUIM
01/07/2024 segunda-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
01/07/2024 segunda-feira,REGULAR,BOM,BOM,REGULAR,BOM,BOM,REGULAR
01/07/2024 segunda-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,REGULAR
01/07/2024 segunda-feira,REGULAR,BOM,BOM,BOM,BOM,REGULAR,BOM
01/07/2024 segunda-feira,REGULAR,REGULAR,REGULAR,RUIM,BOM,REGULAR,RUIM
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,REGULAR,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,REGULAR,ÓTIMO,BOM,BOM,REGULAR,ÓTIMO
01/07/2024 segunda-feira,ÓTIMO,REGULAR,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,BOM,BOM,BOM,BOM,REGULAR,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,REGULAR,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,REGULAR,BOM,REGULAR,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,BOM,BOM,BOM,REGULAR,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,REGULAR,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,REGULAR,BOM,BOM,BOM,BOM,BOM
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,REGULAR,BOM,BOM,REGULAR,BOM,REGULAR
01/07/2024 segunda-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
01/07/2024 segunda-feira,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO
01/07/2024 segunda-feira,NÃO CONSUMI,BOM,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,RUIM,BOM,BOM,ÓTIMO,REGULAR,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,ÓTIMO,BOM,BOM,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
01/07/2024 segunda-feira,BOM,BOM,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
