Data da refeição,Salada,Carne,Arroz,Feijão,Farofa,Sobremesa,Vegetariano
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,REGULAR,BOM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,BOM,BOM,BOM,BOM,REGULAR
27/06/2024 quinta-feira,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,RUIM
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,BOM,BOM,ÓTIMO,BOM,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,REGULAR,BOM,BOM,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,ÓTIMO,BOM,BOM,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,BOM
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,ÓTIMO
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,RUIM,RUIM,BOM,BOM,REGULAR
27/06/2024 quinta-feira,BOM,NÃO CONSUMI,BOM,BOM,ÓTIMO,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,REGULAR,BOM,REGULAR,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,BOM,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,REGULAR,REGULAR,BOM
27/06/2024 quinta-feira,ÓTIMO,BOM,BOM,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO
27/06/2024 quinta-feira,NÃO CONSUMI,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,NÃO CONSUMI,NÃO CONSUMI,REGULAR,BOM,BOM,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,BOM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
27/06/2024 quinta-feira,ÓTIMO,REGULAR,BOM,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,REGULAR,BOM
27/06/2024 quinta-feira,BOM,REGULAR,BOM,BOM,BOM,REGULAR,BOM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,REGULAR,BOM,BOM,ÓTIMO,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,BOM,BOM,BOM,REGULAR,BOM
27/06/2024 quinta-feira,REGULAR,REGULAR,BOM,BOM,BOM,REGULAR,RUIM
27/06/2024 quinta-feira,REGULAR,REGULAR,BOM,REGULAR,BOM,BOM,BOM
27/06/2024 quinta-feira,BOM,REGULAR,BOM,REGULAR,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,NÃO CONSUMI,BOM,ÓTIMO,BOM,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,REGULAR,BOM,REGULAR,REGULAR,REGULAR
27/06/2024 quinta-feira,REGULAR,BOM,BOM,BOM,BOM,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,REGULAR,BOM,BOM,REGULAR,BOM
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,RUIM,REGULAR,REGULAR,BOM,RUIM,REGULAR
27/06/2024 quinta-feira,RUIM,RUIM,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR
27/06/2024 quinta-feira,BOM,BOM,BOM,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,BOM,REGULAR,BOM,REGULAR,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
