Data da refeição,Salada,Frango,Arroz,Feijão,Farofa,Sobremesa,Vegetariano
28/06/2024 sexta-feira,BOM,REGULAR,BOM,BOM,BOM,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,RUIM,REGULAR,RUIM,RUIM,BOM,REGULAR,RUIM
28/06/2024 sexta-feira,BOM,BOM,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,BOM,BOM,BOM,BOM,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,NÃO CONSUMI,ÓTIMO,BOM,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,BOM,ÓTIMO,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,RUIM,ÓTIMO,ÓTIMO,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,NÃO CONSUMI,BOM,REGULAR,BOM,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,REGULAR,BOM,REGULAR,REGULAR,BOM,BOM,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,REGULAR,REGULAR,BOM,REGULAR,REGULAR
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
28/06/2024 sexta-feira,RUIM,BOM,BOM,BOM,BOM,RUIM,REGULAR
28/06/2024 sexta-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
